Status,Address,distance,acessibility,S/A,Price,For Tax Year,Gross Taxes,Sold Date,Days On Market,Age,Area,Total Bedrooms,Total Baths,Lot Sz (Sq.Ft.),Floor Area -Grand Total,Original Price,List Price,Driveway Finish,Floor Area - Unfinished,GST Incl,Foundation,Floor Area Fin - Basement,Zoning,Parking Places - Covered,# Rms,No. Floor Levels,Frontage - Feet,Depth,Type,,,Public Remarks
S,12821 114 AVENUE,,,F21,"$610,000 ",2019,"$2,272.21 ",9/12/20,40,999,North Surrey,3,1,"5,000.00","1,043","$628,800 ","$628,800 ",,0,,Other,0,RF,,6,2,50,100,House/Single Family,,,"Investor's alert. 3 bedroom tenanted home with lots of potential for holding and rebuilding. This home sits on 2 lots with a bright south facing front yard. Each lot is 2500 sqft and adds up to a total of 5000 sqft. The back yard is fenced and quiet. Perfect for holding and building 1 or 2 homes later. Enquire at the City about your building options. Location is very convenient: close to School, community centre and Scott Road skytrain station. Short drive to get to Patullo bridge and King George highway and South Perimeter road. Quiet home at the end of a no-thru road. Home is tenanted, please drive by first before scheduling a showing."
S,12860 114A AVENUE,,,F21,"$675,000 ",2020,"$2,375.43 ",11/15/20,18,999,North Surrey,1,1,"5,000.00",711,"$679,900 ","$679,900 ",,0,,Concrete Perimeter,0,RS1,,5,1,50,99.9,House/Single Family,,,"WHY RENT? Apartment size, 1 bedroom, modern, energy efficient home with an energy rating, on a 50 'x 100' lot and fully fenced backyard. The house has been 100% professionally renovated including foundations within the last 10 years. Located on a no-thru street in a quiet neighborhood and only 5 minutes by car to downtown Surrey or downtown New Westminster. Close to highway 17 for east west connections and a short 10 minute walk to Scott Road Skytrain station. Upcoming Bridgeview area and walking distance to brew house. BONUS: an insulated shed with heat and power measuring 9'4'' x 33'. Quick possession possible. Great things come in small packages...THE BOTTOM LINE: A REAL FIND."
S,12646 113 AVENUE,,,F21,"$690,000 ",2019,"$2,592.35 ",7/3/20,14,64,North Surrey,2,1,"8,056.00",851,"$724,900 ","$724,900 ",Asphalt,0,,Concrete Perimeter,0,SFR,1,6,1,0,,House/Single Family,,,"INVESTORS and FIRST TIME HOME BUYERS ALERT! 2 Bedroom, 1 Bathroom Bungalow located in Central Bridgeview near all major cross roots in the area and only 5 minute walk to Scott road station! Good floor plan layout with detached single car garage, fenced back yard and cozy front porch. Master bedroom, additional bedroom and 3 piece bathroom. Brand new windows and roof has also been updated about 3 years ago. Move in, rent out or add on to make your dream home. This home is a perfect investment or building property with great future development potential. Don't wait, call today and make this your new home!"
S,10669 160 STREET,,,F23,"$700,000 ",2020,"$3,318.55 ",8/14/20,71,62,North Surrey,3,1,"8,255.00","1,536","$750,000 ","$725,000 ",Asphalt,0,,Concrete Perimeter,768,RA,0,11,2,61.22,134.81,House/Single Family,,,"**LARGE 8255 sqft LOT****PERFECT FOR INVESTORS & BUILDERS** 1536 sqft 2 level home on an EAST facing 8255 sqft lot. This home features 3 bedrooms & 1 full bathroom upstairs with an extra bedroom, Recroom area in the basement with unfinished space to expand. The main floor has kitchen off the formal living/dining room with access to the backyard. Walking distance to bus, across the street from Fraser Heights Secondary School & Fraser Heights Recreation Centre, shopping, parks, just up the street from HWY 1 interchange & all other amenities. New homes in the area. Call for more information or a viewing."
S,11457 125A STREET,,,F21,"$700,000 ",2019,"$2,637.46 ",11/4/20,28,70,North Surrey,2,1,"7,378.00",953,"$730,000 ","$730,000 ",,0,,Concrete Perimeter,0,RF,,6,1,61.5,120,House/Single Family,,,Tastefully renovated 2 bed 1bath house with detached garage. Well maintained front and back yard. Park facing with lots of parking for all your toys. Huge investment/rent potential. Rectangular 7300 sq ft lot with close proximity to south Fraser perimeter road/Scott rd sky train station. why buy a townhouse when you can own a detached house at almost similar price.
S,13102 111 AVENUE,,,F26,"$705,000 ",2019,"$2,776.69 ",8/18/20,70,999,North Surrey,4,2,"4,618.00","1,880","$738,880 ","$738,880 ",,0,,Concrete Perimeter,700,SFR,0,12,3,44,106,House/Single Family,,,"Affordable living in Surrey Central with excellent access to Pattullo Bridge, Skytrain, SFPR and the new North Surrey Sport & Ice Complex.  Quiet neighbourhood with traffic calming features, this corner-lot home is across the street from Poplar Park with a three- season mountain view overlooking the Fraser River, Coquitlam and North Shore mountains.  South-facing, low-maintenance back yard with rear lane access and large sunroom with screened windows.  Attached workshop / storage plus open lean-to.  Great open floor plan.  Master bedroom on main with large closet and bonus storage above.  Security system; new roof 2017; new hot water tank 2015."
S,52 DYKE ROAD,,,F28,"$716,000 ",2019,$686.80 ,9/14/20,82,43,North Surrey,3,3,0,"2,838","$685,000 ","$685,000 ",,0,,Concrete Perimeter,600,ALR,2,10,2,291,350,House/Single Family,,,"COURT ORDERED SALE. Peaceful, rural living on Barnston Island, minutes from downtown Surrey. Accessed by free on-demand ferry. Spacious 4 bedroom, 3 bathroom home offers access to 350 feet of water front plus 2.34 acres of hobby farm potential. Walk-out basement offers tons of storage space as well as a huge family room."
S,13937 108 AVENUE,,,F22,"$728,000 ",2019,"$2,946.34 ",7/17/20,179,84,North Surrey,5,1,"7,439.00","2,523","$1,250,000 ","$799,000 ",Other,0,,Concrete Perimeter,0,RF,,7,3,66,,House/Single Family,,,"7,500 sqft corner lot along 108th Avenue. Call for more info."
S,12471 113 AVENUE,,,F21,"$730,000 ",2019,"$2,652.09 ",6/21/20,6,68,North Surrey,2,1,"10,126.00","1,093","$750,000 ","$750,000 ",Asphalt,335,,Concrete Perimeter,0,F21,0,8,1,84,,House/Single Family,,,"WHY PURCHASE A CONDO OR TOWNHOUSE WHEN YOU CAN PURCHASE A SINGLE FAMILY HOME? Welcome to 12471 113 Avenue in Bridgeview, Surrey! This wonderfully maintained rancher is perfect for FIRST TIME BUYERS, BUILDERS OR INVESTORS. Massive 10,126 square foot lot on a quiet dead end street. 2 bedrooms, 1 bathroom, tastefully updated: kitchen, flooring, fresh paint, new windows & doors. Very well kept backyard featuring two decks/patios that is perfect for entertaining or enjoying in peace and quiet. Third covered patio off the front entrance. Walking distance to Scott Road Skytrain Station, Bridgeview Park and Bridgeview Elementary. Also close to HWY 17 and Central City. Donâ€™t miss out! Give us a call for a private showing today."
S,12605 113B AVENUE,,,F21,"$732,000 ",2020,"$2,649.23 ",11/10/20,87,999,North Surrey,3,2,"7,320.00","1,137","$775,000 ","$749,000 ",,0,,Concrete Perimeter,0,RF,,7,1,60,122,House/Single Family,,,"Beautiful Rancher  with over 7300 sq ft rectangular lot. Ideal for first time home Buyer or an investor. This 3BR and 2 BA home has everything for the young growing family, a rear deck off the kitchen and a huge backyard . walking distance to  Bridgeview park and Bridgeview Elementary school.  Roof is partially renovated, new furnace. Lots of storage space. Within walking distance to Scott Road Skytrain station, and the newly built North Surrey ice and sports complex. COVID PROTOCOL IN PLACE. MASKS WOULD BE REQUIRED. "
