Status,Address,S/A,Price,For Tax Year,Gross Taxes,Sold Date,Days On Market,Age,Area,Total Bedrooms,Total Baths,Lot Sz (Sq.Ft.),Floor Area -Grand Total,Original Price,List Price,Driveway Finish,Floor Area - Unfinished,GST Incl,Foundation,Floor Area Fin - Basement,Zoning,Parking Places - Covered,# Rms,No. Floor Levels,Frontage - Feet,Depth,Type,Public Remarks
S,82 1840 160 STREET,F55,"$73,000 ",2019,$192.64 ,7/2/2020,27,47,South Surrey White Rock,2,1,0,708,"$75,000 ","$75,000 ",,0,,Concrete Slab,0,MHP,,4,1,,,Manufactured,"Very affordable mobile home in popular Breakaway Bays in South Sry. This home comes with fridge, stove, washer, dryer and drapes. Spacious master bedroom with built in closet. No age restriction here and 2 pets allowed. Size limit is 20 to neck. Fully equipped clubhouse, heated outdoor pool, Close to Morgan Crossing for shopping and scenic walking paths and parks. You won't find a better home for this price near White Rock. One large shed and two smaller ones for storing tools etc."
S,79 1840 160TH STREET,F55,"$131,000 ",2019,$247.93 ,8/2/2020,6,45,South Surrey White Rock,2,1,0,768,"$135,000 ","$135,000 ",,0,,Concrete Block,0,MHR,1,5,1,,,Manufactured,"BREAKAWAY BAYS Family park in southsurrey 2 pets ok. 2 bedroom home with good size yard. Breakaway Bays has out door pool, club house for birthdays or family gatherings with pool table and shuffle bored, exercise room. minutes from white rock beach, US border, shopping and transit. Call for private viewing."
S,283 1840 160TH STREET,F55,"$135,000 ",2019,$440.90 ,6/1/2020,7,40,South Surrey White Rock,3,2,0,"1,260","$139,000 ","$139,000 ",,0,,Concrete Block,0,MHR,1,6,1,,,Manufactured,"nicely updated home in Breakaway Bays. 3 bedroom 2 bathroom home in family park, pets ok with restrictions. close to all shopping, White Rock  beach and US border. Pad rent $972 per month. Home has silver label. Don't be shy call today."
S,183 1840 160 STREET,F55,"$145,000 ",2019,$140.92 ,6/21/2020,13,45,South Surrey White Rock,2,1,0,860,"$149,900 ","$149,900 ",,0,,Concrete Block,0,MHR,1,4,1,,,Manufactured,"Breakaway Bays in South Surrey. Nice family park with out door pool, club house and small gym. nicely updated          2bedroom 1 bathroom home - New kitchen, floors and paint. 2 pets ok  and pad rent is $1027 per month. don't be shy call me today.."
S,282 1840 160 STREET,F55,"$150,000 ",2019,$354.64 ,7/25/2020,1,39,South Surrey White Rock,3,2,0,"1,240","$159,900 ","$159,900 ",,0,,Concrete Block,0,MHR,1,7,1,,,Manufactured,"Breakaway Bays-family park, 2 pets ok. well maintained home- roof only 4yrs old, hwt  4yrs old and  furnace was replaced 11yrs ago. 3 bedroom 2 bathroom home 1200sq.ft with good size yard in great location in the park. call today for showing wont last long."
S,67 1840 160TH STREET,F55,"$167,500 ",,$408.95 ,9/23/2020,35,46,South Surrey White Rock,2,1,0,764,"$195,000 ","$180,000 ",,0,,Concrete Block,0,MHR,1,4,1,,,Manufactured,"Breakaway Bays. Family park 2 pets ok with restrictions. This home is 10/10 completely renovated from top to bottom. Great location in the park. New kitchen & appliances, Floors, Thermal double pain windows, Bathroom and list go's on.  Park has club house, Exercise center and out door pool. Book your private showing today."
S,245 1840 160 STREET,F55,"$175,000 ",2020,$573.78 ,11/18/2020,8,35,South Surrey White Rock,2,2,0,"1,248","$192,000 ","$185,000 ",Asphalt,0,,Other,0,MHP,1,8,1,,,Manufactured,"One of S.Surrey's lowest priced homes & currently lowest price per sq ft listing of any in Breakaway Bays. This large 24x52 doublewide has lots of liv space w/ kitch & din rms offering plenty of cupboard & cabinet storage. Spacious liv rm features vaulted ceiling & cozy free-standing gas f/p, family rm has a slider that opens to 21'2x11'9 deck, master ensuite boasts an oversize soaker tub & separate vanity desk, laundry rm can double as utility/hobby rm. Home sits on a quiet, well-manicured lot w/ an abundance of trees & shrubs & has loads of front & rear yard space. Tons of extra storage under the home & 10x14 shed. Breakaway Bays features a fully equipped clubhouse, heated outdoor pool, scenic walking paths & park areas. No age rest, 2 pets allowed w/rest. Easy to view, quick possession."
S,241 1840 160 STREET,F55,"$175,000 ",2019,$185.95 ,9/14/2020,28,46,South Surrey White Rock,3,2,0,"1,100","$174,900 ","$174,900 ",,0,,Concrete Block,0,MHR,2,6,1,,,Manufactured,"Breakaway Bays - South Surreys hidden little secret. 3 bedroom 2 bathrooms, double wide on largest lot in the park. Newer appliances, hot water tank, furnace, Acorn stair lift, large 8'*20' storage shed and 3 raised garden beds. Family park and bring your pets, 2 pets ok with restrictions. Don't be shy call today!!"
S,326 1840 160 STREET,F55,"$185,000 ",2020,$297.14 ,10/7/2020,47,40,South Surrey White Rock,2,1,0,924,"$209,000 ","$199,000 ",Asphalt,0,,Concrete Slab,0,MHP,1,7,1,,,Manufactured,"Beautifully updated home. Nicely updated with quality and attention to detail. The kitchen has lots of storage, quartz counter tops, stainless appliances. Newer hot water tank. Gas fireplace in the living room, patio doors to the covered deck. 2 generous sized bedrooms, with large closets. Side by side laundry. Furnace previously updated. Hobby room off the deck is heated and would make a great home office. There is a fantastic Amenities room & an outdoor pool. No age restriction, No rental restriction, pet under 17 at shoulder allowed. Pad fee is $1012/Month and includes, water, sewer, garbage and taxes on the land. This is a great condo/townhouse alternative. wonderful opportunity for first time home buyers, or downsizers."
S,13 1840 160 STREET,F55,"$194,000 ",2019,$383.39 ,11/26/2020,79,47,South Surrey White Rock,2,2,0,"1,056","$250,000 ","$199,000 ",,0,,Concrete Block,0,MHR,1,7,1,,,Manufactured,"A beautiful residence at Breakaway Bays. This is a 2 bedroom, 2 full bathroom home that has been very well cared for. Recent upgrades include new appliances, new kitchen cabinets, laminate flooring, updated bathrooms, outside stairs, newer roof and storage solutions. The location within the complex is great. Also making this an easy choice is the amazing outdoor pool, exercise centre and clubhouse. Breakaway Bays has a great community of neighbours, close to shopping (Morgan Crossing) and other amenities and very close to the Border. No age restriction. Pets are allowed with some restrictions. Pad rental, $1,055.40/ mo., includes electric, water, sewer and access to amenities."
S,206 1840 160 STREET,F55,"$200,000 ",2019,$241.86 ,9/20/2020,68,47,South Surrey White Rock,3,2,0,"1,300","$249,900 ","$229,900 ",,0,,Concrete Block,0,MHR,1,7,1,,,Manufactured,"BREAKAWAY BAYS - Double wide 3 bedroom home in great location in the park. 1minute walk to clubhouse and pool. updated kitchen, new doors, new deck, newer hot water tank, new roof over addition , main roof 7yrs old. big lot with lots of room for kids and entertaining. Two pets ok with restrictions 20 at the shoulder."
S,267 1840 160 STREET,F55,"$210,000 ",2019,$305.42 ,9/4/2020,36,48,South Surrey White Rock,2,2,0,"1,008","$219,000 ","$219,000 ",Concrete,0,,Concrete Block,0,MHP,,9,1,,,Manufactured,"This lovely home has been well preserved and cherished. Two very large bedrooms plus lots of space in the family room/ dining room to relax and enjoy your view from the large picture windows. This home has a new SILVER LABEL sticker, newer hot water tank, new paint in 2019, newer appliances(2018) new laminate flooring and updated light fixtures. The backyard offers a private 10 x 10 deck along with a shed and 3 spots to park. The park offers an exercise room, a large Clubhouse with pool tables, TV's etc.., outdoor swimming pool and lots of green space to walk your pet. No age restrictions, 2 pets allowed."
S,138 1840 160 STREET,F55,"$224,150 ",2020,$857.23 ,11/15/2020,10,45,South Surrey White Rock,3,2,0,"1,264","$224,900 ","$224,900 ",Asphalt,0,,Concrete Slab,0,MHR,1,8,1,,,Manufactured,"This totally modern and move in ready, updated 3 bedroom, 2 bathroom, 1260 SF modular home sits on one of the largest lots in Breakaway Bays in South Surrey. A great deal of time and care has been invested updating this bright and open floorplan home. What updates exactly? Kitchen cabinetry, quartz countertops, s/s appliances, cabinetry / sinks in bathrooms, high end LG washer / dryer, vinyl plank floors and paint throughout. On top of all that, you get a large covered deck, a workshop / home office and peaceful, private garden for your summer outdoor living. Loads of dry storage under the home, a storage shed plus parking for up to three cars. Enjoy the amenities too: outdoor pool, activity centre with fully equipped gym and more."
S,102 15875 20  AVE AVENUE,F55,"$300,000 ",2019,"$1,346.73 ",7/20/2020,47,41,South Surrey White Rock,2,1,"3,163.00",980,"$360,000 ","$329,000 ",,0,,Concrete Block,0,MHR,1,5,1,40,79.075,Manufactured with Land,"Sea Ridge Bays. Really nice park in central location in South Surrey. Close to all shopping and amenities, minutes to beach and U.S border. Two bedroom one bathroom, New floors, gas fire place and big yard for the pets. Home is in great location in the park. 2 pets ok  55+ park. maintance only $137 month."
